Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_paragraph_orig,triplets_paragraph_clean
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 112  Types of budgetary commitments ,"provisional budgetary commitments shall be implemented by entering into one or more legal commitments giving rise to an entitlement to subsequent payments. however, in cases relating to expenditure on staff management, expenditure on members or former members of a union institution or expenditure on communication engaged in by union institutions for the coverage of union events, or in the cases referred to in point 14.5 of annex i, expenditure on members or former members of a union institution or expenditure on communication may be implemented directly by payments without entering into prior legal commitments.",provisional budgetary commitments shall be implemented by entering into one or more legal commitments giving rise to an entitlement to subsequent payments. however in cases relating to expenditure on staff management expenditure on members or former members of a union institution or expenditure on communication engaged in by union institutions for the coverage of union events or in the cases referred to in point 14.5 of annex i expenditure on members or former members of a union institution or expenditure on communication may be implemented directly by payments without entering into prior legal commitments.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 113  Commitments for EAGF appropriations ,"for each financial year, the eagf appropriations shall include non-differentiated appropriations for expenditure related to measures referred to in article 4(1) of regulation (eu) no 1306/2013. expenditure related to the measures referred to in article 4(2) and article 6 of that regulation, with the exception of measures financed under non-oper­ational technical assistance and contributions to executive agencies, shall be covered by differentiated appropriations.",for each financial year the eagf appropriations shall include nondifferentiated appropriations for expenditure related to measures referred to in article 4(1) of regulation (eu) no 13062013. expenditure related to the measures referred to in article 4(2) and article 6 of that regulation with the exception of measures financed under nonoper­ational technical assistance and contributions to executive agencies shall be covered by differentiated appropriations.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 113  Commitments for EAGF appropriations ,"the commission decisions fixing the amount of reimbursement of expenditure related to the eagf incurred by member states shall constitute global provisional budgetary commitments, which shall not exceed the total appropri­ations entered in the budget for the eagf.",the commission decisions fixing the amount of reimbursement of expenditure related to the eagf incurred by member states shall constitute global provisional budgetary commitments which shall not exceed the total appropri­ations entered in the budget for the eagf.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 113  Commitments for EAGF appropriations ,global provisional budgetary commitments for the eagf which have been made for a financial year and which have not given rise to a commitment on specific budget lines by 1 february of the following financial year shall be decommitted in respect of the financial year concerned.,global provisional budgetary commitments for the eagf which have been made for a financial year and which have not given rise to a commitment on specific budget lines by 1 february of the following financial year shall be decommitted in respect of the financial year concerned.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 113  Commitments for EAGF appropriations ,"expenditure effected by the authorities and bodies referred to in the rules relating to the eagf shall, within two months of receipt of the statements sent by member states, be the subject of a commitment by chapter, article and item. such commitments may be made after the expiry of that two-month period where a procedure for a transfer of appropriations concerning the relevant budget lines is necessary. except where payment has not yet been made by member states or where eligibility is in doubt, the amounts shall be charged as payments within the same two-month period. the commitments referred to in the first subparagraph of this paragraph shall be deducted from the global provisional budgetary commitment referred to in paragraph 1.",expenditure effected by the authorities and bodies referred to in the rules relating to the eagf shall within two months of receipt of the statements sent by member states be the subject of a commitment by chapter article and item. such commitments may be made after the expiry of that twomonth period where a procedure for a transfer of appropriations concerning the relevant budget lines is necessary. except where payment has not yet been made by member states or where eligibility is in doubt the amounts shall be charged as payments within the same twomonth period. the commitments referred to in the first subparagraph of this paragraph shall be deducted from the global provisional budgetary commitment referred to in paragraph 1.,"[['the eagf', 'foundational text', 'eagf']]","[['chapter', 'instance of', 'budget']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 113  Commitments for EAGF appropriations ,paragraphs 2 and 3 shall apply subject to the examination and acceptance of the accounts.,paragraphs 2 and 3 shall apply subject to the examination and acceptance of the accounts.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,"without prejudice to articles 111(2) and 264(3), legal commitments relating to individual or provisional budgetary commitments shall be entered into by 31 december of year n, year n being the one in which the budgetary commitment was made.",without prejudice to articles 111(2) and 264(3) legal commitments relating to individual or provisional budgetary commitments shall be entered into by 31 december of year n year n being the one in which the budgetary commitment was made.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,"global budgetary commitments shall cover the total cost of the corresponding legal commitments entered into up to 31 december of year n+1. where the budgetary commitment gives rise to the award of a prize referred to in title ix, the budgetary commitment referred to in article 207(4) shall be entered into by 31 december of year n+3. in external actions, where the budgetary commitment gives rise to a financing agreement concluded with a third country, the financing agreement shall be concluded by 31 december of year n+1. in that case, the budgetary commitment shall cover the total costs of legal commitments implementing the financing agreement entered into within a period of three years following the date of conclusion of the financing agreement. however, in the following cases, the budgetary commitment shall cover the total costs of legal commitments entered into until the end of the period of implementation of the financing agreement: (a) multi-donor actions; (b) blending operations; (c) legal commitments relating to audit and evaluation; (d) the following exceptional circumstances: (i) modifications made to legal commitments which have already been entered into; l 193/84   (ii) legal commitments that are to be entered into after early termination of an existing legal commitment; (iii) changes of the implementing entity.",global budgetary commitments shall cover the total cost of the corresponding legal commitments entered into up to 31 december of year n1. where the budgetary commitment gives rise to the award of a prize referred to in title ix the budgetary commitment referred to in article 207(4) shall be entered into by 31 december of year n3. in external actions where the budgetary commitment gives rise to a financing agreement concluded with a third country the financing agreement shall be concluded by 31 december of year n1. in that case the budgetary commitment shall cover the total costs of legal commitments implementing the financing agreement entered into within a period of three years following the date of conclusion of the financing agreement. however in the following cases the budgetary commitment shall cover the total costs of legal commitments entered into until the end of the period of implementation of the financing agreement: multidonor actions blending operations legal commitments relating to audit and evaluation the following exceptional circumstances: modifications made to legal commitments which have already been entered into l 19384 (ii) legal commitments that are to be entered into after early termination of an existing legal commitment (iii) changes of the implementing entity.,,"[['multidonor actions', 'instance of', 'multidonor actions'], ['l 19384', 'external auditor', 'audit'], ['19384', 'external auditor', 'audit']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,"the third and fourth subparagraphs of paragraph 2 shall not apply to the following multiannual programmes that are implemented through split commitments: (a) the instrument for pre-accession assistance established by regulation (eu) no 231/2014 of the european parliament and of the council ( 1 ); (b) the european neighbourhood instrument established by regulation (eu) no 232/2014 of the european parliament and of the council ( 2 ). in the cases referred to in the first subparagraph, the appropriations shall be automatically decommitted by the commission in accordance with sector-specific rules.",the third and fourth subparagraphs of paragraph 2 shall not apply to the following multiannual programmes that are implemented through split commitments: the instrument for preaccession assistance established by regulation (eu) no 2312014 of the european parliament and of the council ( 1 ) the european neighbourhood instrument established by regulation (eu) no 2322014 of the european parliament and of the council ( 2 ). in the cases referred to in the first subparagraph the appropriations shall be automatically decommitted by the commission in accordance with sectorspecific rules.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,"the individual and provisional budgetary commitments for actions extending over more than one financial year shall, except in the case of staff expenditure, have a final date for implementation set, in accordance with the conditions in the legal commitments to which they refer, and taking into account the principle of sound financial management.",the individual and provisional budgetary commitments for actions extending over more than one financial year shall except in the case of staff expenditure have a final date for implementation set in accordance with the conditions in the legal commitments to which they refer and taking into account the principle of sound financial management.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,any parts of budgetary commitments which have not been implemented by payments six months after the final date for implementation shall be decommitted.,any parts of budgetary commitments which have not been implemented by payments six months after the final date for implementation shall be decommitted.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 114  Time limits for commitments ,"the amount of a budgetary commitment for which no payment within the meaning of article 115 has been made within two years of the entering into the legal commitment shall be decommitted, except where that amount relates to a case under litigation before judicial courts or arbitral bodies, where the legal commitment takes the form of a financing agreement with a third country or where there are special provisions laid down in sector-specific rules.",the amount of a budgetary commitment for which no payment within the meaning of article 115 has been made within two years of the entering into the legal commitment shall be decommitted except where that amount relates to a case under litigation before judicial courts or arbitral bodies where the legal commitment takes the form of a financing agreement with a third country or where there are special provisions laid down in sectorspecific rules.,"[['under litigation', 'court', 'judicial']]","[['budgetary commitment', 'main regulatory text', 'article 115']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 115  Types of payments ,payment of expenditure shall be made by the accounting officer within the limits of the funds available.,payment of expenditure shall be made by the accounting officer within the limits of the funds available.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 115  Types of payments ,"payment shall be made on production of proof that the relevant action is in accordance with the contract, the agreement or the basic act and shall cover one or more of the following operations: (a) payment of the entire amount due; (b) payment of the amount due in any of the following ways: (i) pre-financing providing a float, which may be divided into a number of payments in accordance with the principle of sound financial management; such pre-financing amount shall be paid either on the basis of the contract, the agreement or the basic act, or on the basis of supporting documents which make it possible to check that the terms of the contract or agreement in question are complied with; (ii) one or more interim payments as a counterpart of a partial execution of the action or partial performance of the contract or agreement, which may clear pre-financing in whole or in part, without prejudice to the basic act; (iii) one payment of the balance of the amounts due where the action is completely executed, or the contract or agreement is completely performed; (c) payment of a provision into the common provisioning fund established pursuant to article 212. the payment of the balance shall clear all preceding expenditure. a recovery order shall be issued to recover unused amounts.",payment shall be made on production of proof that the relevant action is in accordance with the contract the agreement or the basic act and shall cover one or more of the following operations: payment of the entire amount due payment of the amount due in any of the following ways: prefinancing providing a float which may be divided into a number of payments in accordance with the principle of sound financial management such prefinancing amount shall be paid either on the basis of the contract the agreement or the basic act or on the basis of supporting documents which make it possible to check that the terms of the contract or agreement in question are complied with (ii) one or more interim payments as a counterpart of a partial execution of the action or partial performance of the contract or agreement which may clear prefinancing in whole or in part without prejudice to the basic act (iii) one payment of the balance of the amounts due where the action is completely executed or the contract or agreement is completely performed payment of a provision into the common provisioning fund established pursuant to article 212. the payment of the balance shall clear all preceding expenditure. a recovery order shall be issued to recover unused amounts.,"[['provision', 'foundational text', 'common provisioning fund'], ['provision', 'foundational text', 'article 212'], ['common provisioning fund', 'foundational text', 'provision'], ['common provisioning fund', 'foundational text', 'article 212']]","[['provision', 'facet of', 'basic act'], ['provision', 'foundational text', 'article 212']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 115  Types of payments ,a distinction shall be made in budgetary accounting between the different types of payment referred to in paragraph 2 at the time each payment is made.,a distinction shall be made in budgetary accounting between the different types of payment referred to in paragraph 2 at the time each payment is made.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 115  Types of payments ,the accounting rules referred to in article 80 shall include the rules for clearing the pre-financing in the accounts and for the acknowledgment of the eligibility of costs.   l 193/85  11).  27).,the accounting rules referred to in article 80 shall include the rules for clearing the prefinancing in the accounts and for the acknowledgment of the eligibility of costs. l 1938511).27).,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 115  Types of payments ,"pre-financing payments shall be cleared regularly by the authorising officer responsible, according to the economic nature of the project and, at the latest, at the end of the project. the clearing shall be performed on the basis of information on costs incurred or confirmation of the conditions for payment being fulfilled in accordance with article 125 as validated by the authorising officer responsible in accordance with article 111(3). for grant agreements, contracts or contribution agreements above eur 5 000 000, the authorising officer responsible shall obtain at each year-end at least the information needed to calculate a reasonable estimate of the costs. at least the information needed to calculate a reasonable estimate of the costs shall not be used for clearing the pre-financing, but may be used by the authorising officer and the accounting officer to comply with article 82(2). for the purposes of the second subparagraph, appropriate provisions shall be included in the legal commitments entered into.",prefinancing payments shall be cleared regularly by the authorising officer responsible according to the economic nature of the project and at the latest at the end of the project. the clearing shall be performed on the basis of information on costs incurred or confirmation of the conditions for payment being fulfilled in accordance with article 125 as validated by the authorising officer responsible in accordance with article 111(3). for grant agreements contracts or contribution agreements above eur 5 000 000 the authorising officer responsible shall obtain at each yearend at least the information needed to calculate a reasonable estimate of the costs. at least the information needed to calculate a reasonable estimate of the costs shall not be used for clearing the prefinancing but may be used by the authorising officer and the accounting officer to comply with article 82(2). for the purposes of the second subparagraph appropriate provisions shall be included in the legal commitments entered into.,"[['eur', 'currency', 'eur']]","[['grant agreements', 'currency', 'eur']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,"payments shall be made within: (a) 90 calendar days for contribution agreements, contracts and grant agreements involving technical services or actions which are particularly complex to evaluate and for which payment depends on the approval of a report or a certificate; (b) 60 calendar days for all other contribution agreements, contracts and grant agreements for which payment depends on the approval of a report or a certificate; (c) 30 calendar days for all other contribution agreements, contracts and grant agreements.",payments shall be made within: 90 calendar days for contribution agreements contracts and grant agreements involving technical services or actions which are particularly complex to evaluate and for which payment depends on the approval of a report or a certificate 60 calendar days for all other contribution agreements contracts and grant agreements for which payment depends on the approval of a report or a certificate 30 calendar days for all other contribution agreements contracts and grant agreements.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,"the time allowed for making payments shall be understood to include validation, authorisation and the payment of expenditure. it shall begin to run from the date on which a payment request is received.",the time allowed for making payments shall be understood to include validation authorisation and the payment of expenditure. it shall begin to run from the date on which a payment request is received.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,"a payment request shall be registered by the authorised department of the authorising officer responsible as soon as possible and is deemed to be received on the date it is registered. the date it is registered is deemed to be the date on which the union institution’s account is debited. a payment request shall include the following essential elements: (a) the creditor’s identification; (b) the amount; (c) the currency; (d) the date. where at least one essential element is missing, a payment request shall be rejected. the creditor shall be informed in writing of a rejection and the reasons for a rejection as soon as possible and in any case within 30 calendar days from the date on which a payment request was received.",a payment request shall be registered by the authorised department of the authorising officer responsible as soon as possible and is deemed to be received on the date it is registered. the date it is registered is deemed to be the date on which the union institutions account is debited. a payment request shall include the following essential elements: the creditors identification the amount the currency the date. where at least one essential element is missing a payment request shall be rejected. the creditor shall be informed in writing of a rejection and the reasons for a rejection as soon as possible and in any case within 30 calendar days from the date on which a payment request was received.,"[['union institution', 'industry', 'currency']]","[['union', 'CITES Appendix', 'union institutions'], ['union', 'depositary', 'union institutions'], ['union institutions', 'depositary', 'union']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,"the authorising officer responsible as soon as possible may suspend the time limit for payment where: (a) the amount of a payment request is not due; or (b) the appropriate supporting documents have not been produced. if information comes to the notice of the authorising officer responsible which puts in doubt the eligibility of expenditure in a payment request, the authorising officer responsible as soon as possible or she may suspend the time limit for payment for the purpose of verifying, including by means of on-the-spot-checks, that the expenditure is eligible. the remaining time allowed for payment shall begin to run from the date on which the requested information or revised documents are received or the necessary further verification, including on-the-spot checks, is carried out. the creditors concerned shall be informed in writing of the reasons for a suspension.",the authorising officer responsible as soon as possible may suspend the time limit for payment where: the amount of a payment request is not due or the appropriate supporting documents have not been produced. if information comes to the notice of the authorising officer responsible which puts in doubt the eligibility of expenditure in a payment request the authorising officer responsible as soon as possible or she may suspend the time limit for payment for the purpose of verifying including by means of onthespotchecks that the expenditure is eligible. the remaining time allowed for payment shall begin to run from the date on which the requested information or revised documents are received or the necessary further verification including onthespot checks is carried out. the creditors concerned shall be informed in writing of the reasons for a suspension.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,"except in the case of member states, the eib and the eif, on the expiry of the time limits laid down in paragraph 1, the creditor shall be entitled to interest in accordance with the following conditions: (a) the interest rates shall be those referred to in article 99(2); (b) the interest shall be payable for the period elapsing from the calendar day following expiry of the time limit for payment laid down in paragraph 1 up to the day of payment. l 193/86   however, in the event that the interest calculated in accordance with the first subparagraph is lower than or equal to eur 200, it shall be paid to the creditor only on a request submitted within two months of receiving late payment.",except in the case of member states the eib and the eif on the expiry of the time limits laid down in paragraph 1 the creditor shall be entitled to interest in accordance with the following conditions: the interest rates shall be those referred to in article 99(2) the interest shall be payable for the period elapsing from the calendar day following expiry of the time limit for payment laid down in paragraph 1 up to the day of payment. l 19386 however in the event that the interest calculated in accordance with the first subparagraph is lower than or equal to eur 200 it shall be paid to the creditor only on a request submitted within two months of receiving late payment.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 116  Time limits for payments ,each union institution shall submit to the european parliament and council a report on the compliance with and the suspension of the time limits laid down in paragraphs 1 to 4 of this article. the report of the commission shall be annexed to the summary of the annual activity reports referred to in article 74(9). chapter 8 internal auditor,each union institution shall submit to the european parliament and council a report on the compliance with and the suspension of the time limits laid down in paragraphs 1 to 4 of this article. the report of the commission shall be annexed to the summary of the annual activity reports referred to in article 74(9). chapter 8 internal auditor,"[['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,each union institution shall establish an internal audit function which shall be performed in compliance with the relevant international standards. the internal auditor appointed by the union institution concerned shall be accountable to the latter for verifying the proper operation of budget implementation systems and procedures. the internal auditor appointed by the union institution concerned shall not be the authorising officer or the accounting officer.,each union institution shall establish an internal audit function which shall be performed in compliance with the relevant international standards. the internal auditor appointed by the union institution concerned shall be accountable to the latter for verifying the proper operation of budget implementation systems and procedures. the internal auditor appointed by the union institution concerned shall not be the authorising officer or the accounting officer.,"[['union institution', 'instance of', 'union']]","[['union institution', 'instance of', 'union']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,"for the purposes of the internal auditing of the eeas, heads of union delegations, acting as authorising officers by subdelegation in accordance with article 60(2), shall be subject to the verifying powers of the internal auditor of the commission for the financial management subdelegated to officers. the internal auditor appointed by the union institution concerned the commission for the financial management shall also act as the internal auditor of the eeas in respect of the implementation of the section of the budget relating to the eeas.",for the purposes of the internal auditing of the eeas heads of union delegations acting as authorising officers by subdelegation in accordance with article 60(2) shall be subject to the verifying powers of the internal auditor of the commission for the financial management subdelegated to officers. the internal auditor appointed by the union institution concerned the commission for the financial management shall also act as the internal auditor of the eeas in respect of the implementation of the section of the budget relating to the eeas.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,each union institution shall appoint each union institution internal auditor in accordance with arrangements adapted to each union institution specific features and requirements. each union institution shall inform the european parliament and the council of the appointment of each union institution internal auditor.,each union institution shall appoint each union institution internal auditor in accordance with arrangements adapted to each union institution specific features and requirements. each union institution shall inform the european parliament and the council of the appointment of each union institution internal auditor.,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,"each union institution shall determine, in accordance with each union institution specific features and each union institution requirements, the scope of the mission of each union institution internal auditor and shall lay down in detail the objectives and procedures for the exercise of the internal audit function with due respect for international internal audit standards.",each union institution shall determine in accordance with each union institution specific features and each union institution requirements the scope of the mission of each union institution internal auditor and shall lay down in detail the objectives and procedures for the exercise of the internal audit function with due respect for international internal audit standards.,,"[['union institution', 'instance of', 'union']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,"each union institution may appoint as internal auditor, by virtue of each union institution particular competence, an official or other servant covered by the staff regulations selected from nationals of member states.",each union institution may appoint as internal auditor by virtue of each union institution particular competence an official or other servant covered by the staff regulations selected from nationals of member states.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,if two or more union institutions appoint the same internal auditor two or more union institutions shall make the necessary arrangements for the internal auditor to be declared liable for the internal auditor or the internal auditor actions as laid down in article 121.,if two or more union institutions appoint the same internal auditor two or more union institutions shall make the necessary arrangements for the internal auditor to be declared liable for the internal auditor or the internal auditor actions as laid down in article 121.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 117  Appointment of the internal auditor ,each union institution shall inform the european parliament and council when the duties of each union institution internal auditor are terminated.,each union institution shall inform the european parliament and council when the duties of each union institution internal auditor are terminated.,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"the internal auditor shall advise the internal auditor or her union institution on dealing with risks, by issuing independent opinions on the quality of management and control systems and by issuing recommendations for improving the conditions of implementation of operations and promoting sound financial management. the internal auditor shall in particular be responsible for: (a) assessing the suitability and effectiveness of internal management systems and the performance of departments in implementing policies, programmes and actions by reference to the risks associated with programmes and actions; (b) assessing the efficiency and effectiveness of the internal control and audit systems applicable to each budget imple­mentation operation.",the internal auditor shall advise the internal auditor or her union institution on dealing with risks by issuing independent opinions on the quality of management and control systems and by issuing recommendations for improving the conditions of implementation of operations and promoting sound financial management. the internal auditor shall in particular be responsible for: assessing the suitability and effectiveness of internal management systems and the performance of departments in implementing policies programmes and actions by reference to the risks associated with programmes and actions assessing the efficiency and effectiveness of the internal control and audit systems applicable to each budget imple­mentation operation.,,"[['internal auditor', 'field of this occupation', 'her union'], ['internal auditor', 'field of this occupation', 'union'], ['her union', 'external auditor', 'internal auditor'], ['union', 'external auditor', 'internal auditor']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"the internal auditor shall perform the internal auditor or the internal auditor duties in relation to all the activities and departments of the union institution concerned. the internal auditor or the internal auditor shall enjoy full and unlimited access to all information required to perform the internal auditor or the internal auditor duties, if necessary also on-the-spot access, including in member states and in third countries. the internal auditor shall take note of the annual report of the authorising officers and any other pieces of information identified.",the internal auditor shall perform the internal auditor or the internal auditor duties in relation to all the activities and departments of the union institution concerned. the internal auditor or the internal auditor shall enjoy full and unlimited access to all information required to perform the internal auditor or the internal auditor duties if necessary also onthespot access including in member states and in third countries. the internal auditor shall take note of the annual report of the authorising officers and any other pieces of information identified.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,the internal auditor shall report to the union institution concerned on the internal auditor or the internal auditor findings and recommendations. the union institution shall ensure that action is taken with regard to recommendations resulting from audits.    each union institution shall consider whether the recommendations made in the reports of each union institution internal auditor are suitable for an exchange of best practices with other union institutions.,the internal auditor shall report to the union institution concerned on the internal auditor or the internal auditor findings and recommendations. the union institution shall ensure that action is taken with regard to recommendations resulting from audits.each union institution shall consider whether the recommendations made in the reports of each union institution internal auditor are suitable for an exchange of best practices with other union institutions.,,"[['union institution', 'instance of', 'union'], ['union institution', 'instance of', 'union'], ['union institution', 'instance of', 'union']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"the internal auditor shall submit to the union institution concerned an annual internal audit report indicating the number and type of internal audits carried out, the recommendations made in the reports of its internal auditor made and the action taken with regard to the recommendations made in the reports of its internal auditor. an annual internal audit report indicating the number and type of internal audits carried out shall mention any systemic problems detected by the panel set up pursuant to article 143 where an annual internal audit report indicating the number and type of internal audits carried out gives the opinion referred to in article 93.",the internal auditor shall submit to the union institution concerned an annual internal audit report indicating the number and type of internal audits carried out the recommendations made in the reports of its internal auditor made and the action taken with regard to the recommendations made in the reports of its internal auditor. an annual internal audit report indicating the number and type of internal audits carried out shall mention any systemic problems detected by the panel set up pursuant to article 143 where an annual internal audit report indicating the number and type of internal audits carried out gives the opinion referred to in article 93.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"the internal auditor shall, during the elaboration of an annual internal audit report indicating the number and type of internal audits carried out, particularly focus on the overall compliance with the principles of sound financial management and performance, and shall ensure that appropriate measures have been taken in order to steadily improve and enhance appropriate measures application.",the internal auditor shall during the elaboration of an annual internal audit report indicating the number and type of internal audits carried out particularly focus on the overall compliance with the principles of sound financial management and performance and shall ensure that appropriate measures have been taken in order to steadily improve and enhance appropriate measures application.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"each year, the commission shall, in the context of the discharge procedure and in accordance with article 319 tfeu, forward on request article 319 tfeu annual internal audit report with due regard to confidentiality requirements.",each year the commission shall in the context of the discharge procedure and in accordance with article 319 tfeu forward on request article 319 tfeu annual internal audit report with due regard to confidentiality requirements.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"each union institution shall make available the contact details of each union institution internal auditor to any natural or legal person involved in expenditure operations, for the purposes of confidentially contacting the internal auditor.",each union institution shall make available the contact details of each union institution internal auditor to any natural or legal person involved in expenditure operations for the purposes of confidentially contacting the internal auditor.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"each year each union institution shall draft a report containing a summary of the number and type of internal audits carried out, a synthesis of the recommendations made in the reports of its internal auditor and the action taken on the recommendations made in the reports of its internal auditor and forward a report containing a summary of the number and type of internal audits carried out, a synthesis of the recommendations made and the action taken on those recommendations to the european parliament and to the council as provided for in article 247.",each year each union institution shall draft a report containing a summary of the number and type of internal audits carried out a synthesis of the recommendations made in the reports of its internal auditor and the action taken on the recommendations made in the reports of its internal auditor and forward a report containing a summary of the number and type of internal audits carried out a synthesis of the recommendations made and the action taken on those recommendations to the european parliament and to the council as provided for in article 247.,"[['the council', 'legislative body', 'european parliament'], ['the council', 'legislative body', 'european parliament']]","[['union', 'external auditor', 'union institution'], ['the council', 'legislative body', 'european parliament']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"the reports and findings of the internal auditor, as well as the report of the union institution concerned, shall be accessible to the public only after validation by the internal auditor of the action taken for the reports and findings of the internal auditor, as well as the report of the union institution concerned implementation.",the reports and findings of the internal auditor as well as the report of the union institution concerned shall be accessible to the public only after validation by the internal auditor of the action taken for the reports and findings of the internal auditor as well as the report of the union institution concerned implementation.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 118  Powers and duties of the internal auditor ,"each union institution shall provide each union institution internal auditor with the resources required for the proper performance of the internal audit function and a mission charter detailing the tasks, rights and obligations of each union institution internal auditor.",each union institution shall provide each union institution internal auditor with the resources required for the proper performance of the internal audit function and a mission charter detailing the tasks rights and obligations of each union institution internal auditor.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 119  Work programme of the internal auditor ,the internal auditor shall adopt the work programme and shall submit the work programme to the union institution concerned.,the internal auditor shall adopt the work programme and shall submit the work programme to the union institution concerned.,"[['union', 'external auditor', 'internal auditor']]","[['union', 'external auditor', 'internal auditor']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 119  Work programme of the internal auditor ,the union institution concerned may ask the union institution concerned internal auditor to carry out audits not included in the work programme referred to in paragraph 1.,the union institution concerned may ask the union institution concerned internal auditor to carry out audits not included in the work programme referred to in paragraph 1.,,
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 120  Independence of the internal auditor ,"the internal auditor shall enjoy complete independence in the conduct of the audits. special rules applicable to the internal auditor shall be laid down by the union institution concerned and shall be such as to guarantee that the internal auditor is totally independent in the performance of the internal auditor or her duties, and to establish the internal auditor’s responsibility.",the internal auditor shall enjoy complete independence in the conduct of the audits. special rules applicable to the internal auditor shall be laid down by the union institution concerned and shall be such as to guarantee that the internal auditor is totally independent in the performance of the internal auditor or her duties and to establish the internal auditors responsibility.,"[['union institution', 'instance of', 'union']]","[['internal auditor', 'field of this occupation', 'the audits'], ['the audits', 'external auditor', 'internal auditor'], ['union', 'external auditor', 'internal auditor'], ['union institution', 'external auditor', 'internal auditor'], ['union institution', 'instance of', 'union']]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 120  Independence of the internal auditor ,"the internal auditor shall not be given any instructions nor be restricted in any way as regards the performance of the functions which, by virtue of the internal auditor or her appointment, are assigned to the internal auditor or her under this regulation.",the internal auditor shall not be given any instructions nor be restricted in any way as regards the performance of the functions which by virtue of the internal auditor or her appointment are assigned to the internal auditor or her under this regulation.,,
