title,relation,tail,title,article
system rule procedure person entity,refer,where to in point of the first subparagraph of article 62(1,TITLE VI INDIRECT MANAGEMENT,Article 154  Indirect management 
appropriate union contribution person entity,implement,in accordance with this title,TITLE VI INDIRECT MANAGEMENT,Article 154  Indirect management 
person entity,participate,where in a call for proposals,TITLE VI INDIRECT MANAGEMENT,Article 154  Indirect management 
person entity,comply,with the rules of the call for proposals contained in title viii,TITLE VI INDIRECT MANAGEMENT,Article 154  Indirect management 
authorise officer,decide,to sign a contribution agreement or a financing agreement instead of a grant agreement in such a case,TITLE VI INDIRECT MANAGEMENT,Article 154  Indirect management 
person entity implement union fund budgetary guarantee,provide,the commission with:,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
contribution,reimburse,expenditure persons and entities implementing union funds or budgetary guarantees accounts drawn up for the expenditure where,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
report implementation union fund budgetary guarantee include fulfilment condition achievement result refer point subparagraph article 125(1 contribution reimburse expenditure person entity implement union fund budgetary guarantee account draw expenditure,incur,a management declaration covering the information referred to in point and where appropriate point confirming that: the information is properly presented complete and accurate (ii) the union funds were used for the union funds intended purpose as defined in the contribution agreements financing agreements or guarantee agreements or where applicable in the relevant sectorspecific rules (iii) the control systems put in place,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
information,present,properly,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund,intend,purpose,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund,define,in the contribution agreements financing agreements,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund,guarantee,agreements or where applicable in the relevant sectorspecific rules (iii) the control systems put in place,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
report implementation union fund budgetary guarantee include fulfilment condition achievement result refer point subparagraph article 125(1 contribution reimburse expenditure person entity implement union fund budgetary guarantee account draw expenditure,give,the necessary guarantees concerning the legality and regularity of the underlying transactions,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
crossreliance audit,refer,where crossreliance on audits as referred to in article 127,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
summary,refer,to in point of the first subparagraph of this paragraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action terminate end financial year,concern,the final report may replace the management declaration referred to in point of the first subparagraph provided the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
final report,replace,the management declaration referred to in point of the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action terminate end financial year,submit,before 15 february of the following financial year,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
document,refer,shall be accompanied by an opinion of an independent audit body drawn up in accordance with internationally accepted audit standards to in the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
document,accompany,by an opinion of an independent audit body drawn up in accordance with internationally accepted audit standards,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
opinion independent audit body draw accordance internationally accept audit standard,establish,whether the control systems put in place function properly and are costeffective and whether the underlying transactions are legal and regular,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
control system place,be,costeffective,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
underlying transaction,be,legal and regular,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
opinion independent audit body draw accordance internationally accept audit standard,state,whether the audit work puts in doubt also,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
audit work,put,doubt,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
assertion management declaration,refer,to in point of the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
opinion,be,absent the authorising officer may seek an equivalent level of assurance through other independent means where,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
authorise officer,seek,an equivalent level of assurance through other independent means,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
document,refer,to in the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
document,provide,to the commission,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
opinion independent audit body draw accordance internationally accept audit standard refer subparagraph,provide,to the commission,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
obligation set paragraph,be,without prejudice to agreements concluded with the eib the eif member state organisations international organisations and third countries,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
agreement,include,at least the obligation of those entities to provide the commission annually with a statement that during the following financial year the union funds were used and accounted for in compliance with article 154(3) and (4) and with regard to the management declaration with the obligations laid down in such agreements,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund,use,during the following financial year,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund,account,for in compliance with article 154(3,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
statement,incorporate,in the final report,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action implement,limited,to 18 months,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
implement union fund person entity shall : comply applicable union law agree international union standard support action contribute money launder terrorism finance tax avoidance tax fraud tax evasion l 193108     implement financial instrument budgetary guarantee accordance title x,enter,into new or renewed operations with entities incorporated or established in jurisdictions listed under the relevant union policy on noncooperative jurisdictions,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
entity,derogate,from point of the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action,implement,only physically in one of those jurisdictions,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action,present,any indication that the relevant operation falls under any of the categories listed in point of the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
relevant operation,fall,under any of the categories listed in point of the first subparagraph,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund budgetary guarantee,use,in accordance with the conditions laid down in the relevant agreements,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
cost person entity,reimburse,where based on a simplified cost option in accordance with points and of the first subparagraph of article 125(1) article 181(1) to (5) and articles 182 to 185,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union fund budgetary guarantee,use,where in breach of the obligations laid down in the relevant agreements article 131,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
union contribution,reimburse,where,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
procedure set paragraph 4,consist,that an amount corresponding to that paid by the commission for the action concerned has been used by the person or entity in accordance with the conditions laid down in the relevant grant contribution or financing agreement in verifying,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
correspond pay commission action concern,use,by the person or entity in accordance with the conditions laid down in the relevant grant contribution or financing agreement,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
contribution agreement finance agreement guarantee agreement,define,the responsibilities and obligations of the person or entity implementing union funds including the obligations set out in article 129 and the conditions for payment of the contribution clearly,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
agreement,define,the mutually agreed remuneration which shall be commensurate with the conditions under which the actions are implemented taking due account of situations of crisis and fragility and where appropriate be performancebased,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
action,implement,taking due account of situations of crisis and fragility under which,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
agreement,include,rules on reporting to the commission on how the tasks are performed the results expected including indicators on measuring performance and the obligation for persons or entities implementing union funds to notify the commission for the action concerned without delay of cases of detected fraud and irregularities and persons or entities implementing union funds followup also,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
task,perform,the results expected including indicators on measuring performance and the obligation for persons or entities implementing union funds to notify the commission for the action concerned without delay of cases of detected fraud and irregularities and persons or entities implementing union funds followup how,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
article 129,apply,to the union contribution to union bodies which are subject to a separate discharge procedure under articles 70 and 71 with the exception of possible adhoc contribution agreements,TITLE VI INDIRECT MANAGEMENT,Article 155  Implementation of Union funds and budgetary guarantees 
specialise agency set organisation,transmit,with to the commission as part of the assessment carried out by the commission in accordance with article 154(3,TITLE VI INDIRECT MANAGEMENT,Article 156  Indirect management with international organisations 
follow organisation,assimilate,to international organisations: the international committee of the red cross the international federation of national red cross and red crescent societies,TITLE VI INDIRECT MANAGEMENT,Article 156  Indirect management with international organisations 
member state,be,members of the nonprofit organisation the commission is provided with adequate financial guarantees the commission operates on the basis of a permanent structure and in accordance with systems rules and procedures which can be assessed in accordance with article 154(3,TITLE VI INDIRECT MANAGEMENT,Article 156  Indirect management with international organisations 
international organisation,implement,funds where under indirect management verification agreements,TITLE VI INDIRECT MANAGEMENT,Article 156  Indirect management with international organisations 
international organisation,conclude,with international organisations,TITLE VI INDIRECT MANAGEMENT,Article 156  Indirect management with international organisations 
financial framework partnership agreement,conclude,shall further specify the extent and the modalities of the crossreliance on systems rules and procedures of member state organisations and may include specific provisions on the crossreliance on assessments and audits as referred to in articles 126 and 127 with member state organisations in accordance with article 130,TITLE VI INDIRECT MANAGEMENT,Article 157  Indirect management with Member State organisations 
financial framework partnership agreement,specify,the extent and the modalities of the crossreliance on systems rules and procedures of member state organisations further,TITLE VI INDIRECT MANAGEMENT,Article 157  Indirect management with Member State organisations 
financial framework partnership agreement,include,specific provisions on the crossreliance on assessments and audits,TITLE VI INDIRECT MANAGEMENT,Article 157  Indirect management with Member State organisations 
financial framework partnership agreement,refer,to in articles 126 and 127,TITLE VI INDIRECT MANAGEMENT,Article 157  Indirect management with Member State organisations 
financing agreement,determine,the rules and procedures to be applied by that country when implementing union funds also,TITLE VI INDIRECT MANAGEMENT,Article 158  Indirect management with third countries 
blend operation,manage,either by the commission or by persons or entities implementing union funds pursuant to point of the first subparagraph of article 62(1,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
financial instrument budgetary guarantee,implement,where within a blending facility or platform title,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
ex ante evaluation,carry,prior to the establishment of the relevant blending facility or platform,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
annual report pursuant article 249,draw,at the level of the blending facility or platform taking into account all financial instruments and budgetary guarantees,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
annual report pursuant article 249,group,under the facility or platform,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
annual report pursuant article 249,identify,the different types of financial support clearly within it,TITLE VI INDIRECT MANAGEMENT,Article 159  Blending operations 
contract finance,respect,the principles of transparency proportionality equal treatment and nondiscrimination in part by the budget,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
contract,put,to competition on the broadest possible basis except when use is made of the procedure referred to in point of article 164(1,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
use,make,when of the procedure referred to in point of article 164(1,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
estimate value contract,determine,with a view to circumventing the applicable rules,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
contract,split,for that purpose,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
contracting authority,divide,a contract into lots whenever appropriate with due regard to broad competition,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
contracting authority,use,framework contracts that contracting authorities purpose or effect is to prevent restrict or distort competition improperly or in such a way,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
contracting authority purpose effect,be,to prevent restrict or distort competition,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
rule procurement lay regulation,apply,to the activities of the jrc on behalf of third parties with the exception of the principles of transparency and equal treatment,TITLE VII PROCUREMENT AND CONCESSIONS,Article 160  Principles applicable to contracts and scope 
detailed rule procurement,lay,in annex i to this regulation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers 
union institution,award,contracts on union institutions when,TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers 
union institution,apply,the same standards as those imposed on contracting authorities covered by directives 201423eu and,TITLE VII PROCUREMENT AND CONCESSIONS,Article 161  Annex on procurement and delegation of powers 
mixed contract cover type procurement work supply service concession work service,award,in accordance with the provisions applicable to the type of procurement that characterises the main subject matter of the contract in question,TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary 
contract cover type procurement work supply service concession work service,award,in accordance with the provisions applicable to the public contract concerned,TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary 
title,apply,to contracts for technical assistance concluded with the eib or the eif,TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary 
reference nomenclature context procurement,use,the common procurement vocabulary (cpv) as set out in regulation (ec),TITLE VII PROCUREMENT AND CONCESSIONS,Article 162  Mixed contracts and common procurement vocabulary 
contracting authority,publish,for procedures with a value equal to or greater than the thresholds referred to in article 175(1) or article 178 in the official journal of the european union,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
procedure value threshold,refer,to in article 175(1,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
article 178,advertise,by appropriate means,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
publication certain information contract award,withhold,where publication of certain information on a contract award release would impede law enforcement or otherwise be contrary to the public interest,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
publication certain information contract award release,impede,law enforcement where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
publication certain information contract award release,be,contrary to the public interest otherwise,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
publication certain information contract award,harm,the legitimate commercial interests of economic operators,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
publication certain information contract award,prejudice,fair competition between the legitimate commercial interests of economic operators,TITLE VII PROCUREMENT AND CONCESSIONS,Article 163  Publicity measures 
procurement procedure award concession contract public contract include framework contract,take,one of the following forms,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
interested economic operator,submit,a tender in open procedures,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
economic operator,submit,a request to participate by providing the information that is requested by the contracting authority in restricted procedures competitive dialogues competitive procedures with negotiation and innovation partner­ships,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,invite,all candidates that satisfy the selection criteria,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,limit,the number of candidates to be invited to participate in the procedure on the basis of objective and nondiscriminatory selection criteria which shall be indicated in the contract notice or the call for expression of interest notwithstanding the first subparagraph,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
number candidate invite,be,sufficient to ensure genuine competition,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,negotiate,in all procedures involving negotiation with tenderers the initial and any subsequent tenders or parts thereof except their final tenders in order to improve their content,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
minimum requirement criterion specify procurement document,be,subject to negotiation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,award,a contract on the basis of the initial tender without negotiation where a contracting authority has indicated in the procurement documents that a contracting authority reserves the possibility to do so,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,indicate,that a contracting authority reserves the possibility to do so where in the procurement documents,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,reserve,the possibility to do so,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,use,the open or restricted procedure for any purchase the procedures involving a call for expression of interest for contracts with a value below the thresholds referred to in article 175(1) to preselect candidates to be invited to submit tenders in response to future restricted invitations to tender or to collect a list of vendors to be invited to submit requests to participate or submit tenders the design contest to acquire a plan or design selected by a jury after being put out to competition the innovation partnership to develop an innovative product service or innovative works and for the subsequent purchase of the resulting supply services or works the competitive procedure with negotiation or the competitive dialogue for concession contracts for the service contracts referred to in annex xiv to directive 201424eu in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed and for cases where this is justified by the specific circumstances linked inter alia to the nature or the complexity of the subject matter of the contract or to the specific type of contract as further detailed in annex i to this regulation l 193112   the negotiated procedure for contracts with a value below the thresholds referred to in article 175(1) or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of directive 201424eu or in the clearly defined exceptional circumstances set out in annex i to this regulation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
candidate,invite,to submit tenders in response to future restricted invitations to tender or to collect a list of vendors to be invited to submit requests to participate or submit tenders the design contest to acquire a plan or design selected by a jury after being put out to competition the innovation partnership to develop an innovative product service or innovative works and for the subsequent purchase of the resulting supply services or works the competitive procedure with negotiation or the competitive dialogue for concession contracts for the service contracts referred to in annex xiv to directive 201424eu in cases where only irregular or unacceptable tenders were submitted in response to an open or restricted procedure after the initial procedure has been completed and for cases where this is justified by the specific circumstances linked inter alia to the nature or the complexity of the subject matter of the contract or to the specific type of contract as further detailed in annex i to this regulation l 193112   the negotiated procedure for contracts with a value below the thresholds referred to in article 175(1) or the negotiated procedure without prior publication for specific types of purchases falling outside the scope of directive 201424eu or in the clearly defined exceptional circumstances set out in annex i to this regulation,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
irregular unacceptable tender,submit,where in response to an open or restricted procedure,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
dynamic purchasing system,be,open throughout a dynamic purchasing system duration to any economic operator who satisfies the selection criteria,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contracting authority,follow,the rules of the restricted procedure for procurement through a dynamic purchasing system,TITLE VII PROCUREMENT AND CONCESSIONS,Article 164  Procurement procedures 
contract framework contract,be,where of interest to two or more union institutions executive agencies or union bodies,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contract framework contract,refer,to in articles 70 and 71,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contract framework contract,be,a possibility for realising efficiency whenever,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contract framework contract,gain,the contracting authorities concerned may carry out the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contracting authority concern,carry,the procedure and the management of the subsequent contract or framework contract on an interinstitutional basis under the lead of one of the contracting authorities,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
body person entrust implementation specific action cfsp pursuant title v teu office secretary board governor european school,participate,also in interinstitutional procedures,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
term framework contract,apply,only between those contracting authorities that are identified for that purpose in the procurement documents and those economic operators that are party to the framework contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contract framework contract,be,necessary where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
implementation joint action union institution contracting authority member state,carry,jointly by the union institution and the contracting authorities,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
joint procurement,conduct,with efta states and union candidate countries,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
possibility,provide,specifically for in a bilateral or multilateral treaty,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
procedural provision applicable union institution,apply,to joint procurement,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
share,pertain,where to,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
share,manage,by the contracting authority of a member state in the total estimated value of the contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
union institution,decide,that the procedural rules applicable to the contracting authority of a member state shall apply to joint procurement provided that the procedural rules applicable to the contracting authority of a member state may be considered as equivalent to those of the union institution in other duly justified cases,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
procedural rule applicable contracting authority member state,apply,to joint procurement provided that the procedural rules applicable to the contracting authority of a member state may be considered as equivalent to those of the union institution,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
procedural rule applicable contracting authority member state,consider,as equivalent to those of the union institution,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
union institution contracting authority member state efta state union candidate country concern joint procurement,agree,in particular upon the detailed practical arrangements for the evaluation of the requests for participation or of the tenders the award of the contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 165  Interinstitutional procurement and joint procurement 
contracting authority,conduct,a preliminary market consul­tation before launching a procurement procedure with a view to preparing the procedure,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
contracting authority,identify,the subject matter of the procurement by providing a description of the contracting authority needs,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
contracting authority,indicate,which elements define the minimum requirements to be met by all tenders also,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
element,define,which the minimum requirements to be met by all tenders,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
minimum requirement,meet,by all tenders,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
minimum requirement,include,compliance with applicable environmental social and labour law obligations established by union law national law collective agreements or the applicable international social and environmental conventions listed in annex to directive 201424eu,TITLE VII PROCUREMENT AND CONCESSIONS,Article 166  Preparation of a procurement procedure 
contract,award,on the basis of award criteria provided that the contracting authority has verified the following:,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,verify,the following:,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
tender complie minimum requirement specify procurement document,exclude,contracts shall be awarded on the basis of award criteria provided that the contracting authority has verified the following: under article 136,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
tender complie minimum requirement specify procurement document,reject,under article 141,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
candidate tenderer,meet,the selection criteria specified in the procurement documents,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
candidate tenderer,be,subject to conflicts of interest which may negatively affect the performance of the contract,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,apply,the selection criteria,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,evaluate,the capacity of the candidate or tenderer,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
selection criterion,relate,to pursue the professional activity the economic and financial capacity and the technical and professional capacity only to the legal and regulatory capacity,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,apply,the award criteria,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,evaluate,the tender,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,base,the award of contracts on the most economically advantageous tender which shall consist in one of three award methods: lowest price lowest cost or best pricequality ratio,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,use,a costeffectiveness approach including lifecycle costing for the lowest cost method,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,take,the price or cost and other quality criteria linked to the subject matter of the contract into account,TITLE VII PROCUREMENT AND CONCESSIONS,Article 167  Award of contracts 
contracting authority,lay,time limits for the receipt of tenders and requests,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,participate,in accordance with point 24 of annex i,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,take,the complexity of the purchase leaving an adequate period for economic operators to prepare economic operators into account,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
tender submit,withdraw,before contract signature,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,release,the guarantees,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,open,all requests to participate and,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,reject,requests to participate and tenders which do not comply with the time limit for receipt without opening them tenders already open when them are received without examining them content however,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,evaluate,all requests to participate or tenders,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,reject,during the opening phase,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,lay,in paragraph 3 on the basis of the criteria specified in the procurement documents with a view to awarding the contract or to proceeding with an electronic auction,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
authorise officer,waive,the appointment of an evaluation committee in the following cases,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
authorise officer,provide,for in article 150(2,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
value contract,be,the authorising officer may waive the appointment of an evaluation committee as provided for in article 150(2) in the following cases below the thresholds referred to in article 175(1) on the basis of a risk analysis for the cases referred to in points(i)(iii) and of the second subparagraph of point,TITLE VII PROCUREMENT AND CONCESSIONS,"Article 168  Submission, electronic communication and evaluation "
contracting authority,communicate,additional information about the procurement documents before the time limit for receipt of requests to participate or tenders,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
contracting authority,discover,an error or omission in the text,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
information provide,disclose,to all candidates or tenderers,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
contact,make,where,TITLE VII PROCUREMENT AND CONCESSIONS,Article 169  Contacts during the procurement procedure 
